Search term,Campaign,Ad group,Match type,Added/Excluded,Clicks,Impr.,Cost,Conversions,RECOMMENDATION,REASON
long island flag football,CM - pMax - Portland (MxConv), --,Performance Max,None,0,11,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
how to pitch softball slowpitch,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
how to deal with a spooky horse,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
one person basketball drills,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
farmingdale men's lacrosse schedule,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'farmingdale'
free summer camp yonkers ny,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
garden city summer camps,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'garden city'
summer camp long island,CM - pMax - Portland (MxConv), --,Performance Max,None,3,37,5.76,1.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
warmup for workout,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'workout'
volleyball camp westchester ny,CM - pMax - Portland (MxConv), --,Performance Max,None,2,13,5.20,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
flag football on long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
basketball camps long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
good baseball drills for 8 year olds,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
back workout for soccer players,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'workout'
affordable summer camps in nassau county,CM - pMax - Portland (MxConv), --,Performance Max,None,0,4,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'nassau'
how to play volleyball for beginners,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
what size soccer ball for 14 year old,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'what size'
volleyball camp long island ny,CM - pMax - Portland (MxConv), --,Performance Max,None,1,5,1.62,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
footwork drills for basketball,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
summer day camp long island,CM - pMax - Portland (MxConv), --,Performance Max,None,1,2,6.83,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
hofstra summer camp 2026,CM - pMax - Portland (MxConv), --,Performance Max,None,1,5,1.22,0.00,ADD NEGATIVE,Competitor term: 'hofstra summer camp'
what size soccer ball for 12 year old girl,CM - pMax - Portland (MxConv), --,Performance Max,None,0,4,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'what size'
travel camp counselor jobs,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'jobs'
soccer ball size age 12,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'ball size'
swim camp westchester ny,CM - pMax - Portland (MxConv), --,Performance Max,None,1,5,0.88,1.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
camp baumann freeport ny,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
camp r us farmingdale,CM - pMax - Portland (MxConv), --,Performance Max,None,0,9,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'farmingdale'
summer courses at nassau community college,CM - pMax - Portland (MxConv), --,Performance Max,None,1,1,4.70,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'nassau'
hofstra summer camps,CM - pMax - Portland (MxConv), --,Performance Max,None,0,12,0.00,0.00,ADD NEGATIVE,Competitor term: 'hofstra summer camp'
smithtown summer camp 2026,CM - pMax - Portland (MxConv), --,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'smithtown'
farmingdale ny,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
outdoor activity long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
smithtown theater summer camp,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'smithtown'
long island science camp,CM - pMax - Portland (MxConv), --,Performance Max,None,0,9,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
learn how to hit a baseball,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
volleyball club long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
free nyc summer camp 2025,CM - pMax - Portland (MxConv), --,Performance Max,None,0,4,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
how to see the ball better in baseball,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
how to build kids confidence,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
5 year old soccer ball size,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'ball size'
how to play catch by yourself baseball,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
kids activities long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
third base drills,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
how to cut a softball,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
fscamp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,1,5,0.82,0.00,ADD NEGATIVE,Brand term in nonbranded campaign — add as negative
basketball camps on long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
team drills basketball,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
futbol sin fronteras long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
how to become more explosive soccer,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
sleepaway camp packing,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'sleepaway'
soccer tips for kids,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'tips for'
sports camps long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,4,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
what size tennis racket should a 12 year old use,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'what size'
dribbling drills,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
summer camps in hicksville ny,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
how to slide in softball,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
2nd grade lacrosse drills,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
the adventure park at long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
lacrosse tips for beginners,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'tips for'
boys lacrosse camps long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
horse farm long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
extension drills baseball,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
long island cheer diamonds 2024,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
what size tennis racket for 10 year old boy,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'what size'
how to lace wrist baseball glove,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
how to do a stepover in soccer,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
tips for cheerleaders,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'tips for'
shibley summer camp,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Competitor term: 'shibley summer camp'
dribbling drills soccer at home,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'drills'
fun things to do in long island today,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
how to play safety in football for beginners,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
